title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Rep. Lois Frankel,F000462,Lois,Frankel,rep,21,FL,D,https://www.facebook.com/RepLoisFrankel/,@RepLoisFrankel,supporter,,,
Rep. Marcia Fudge,F000455,Marcia,Fudge,rep,11,OH,R,https://www.facebook.com/RepMarciaLFudge/,@RepMarciaFudge,supporter,,,
Rep. Russ Fulcher,F000469,Russ,Fulcher,rep,1,ID,R,https://www.facebook.com/RepRussFulcher,@RepRussFulcher,supporter,,,
Rep. Tulsi Gabbard,G000571,Tulsi,Gabbard,rep,2,HI,D,https://www.facebook.com/RepTulsiGabbard/,@TulsiPress,supporter,,,
Rep. Matt Gaetz,G000578,Matt,Gaetz,rep,1,FL,R,https://www.facebook.com/CongressmanMattGaetz/,@RepMattGaetz,supporter,,,
Rep. Mike Gallagher,G000579,Mike,Gallagher,rep,8,WI,R,https://www.facebook.com/RepMikeGallagher/,@RepGallagher,supporter,,,
Rep. Ruben Gallego,G000574,Ruben,Gallego,rep,7,AZ,D,https://www.facebook.com/RepRubenGallego/,@RepRubenGallego,supporter,,,
Rep. Greg Gianforte,G000584,Greg,Gianforte,rep,1,MT,R,https://www.facebook.com/RepGianforte/,@GregForMontana,supporter,,,
Rep. Bob Gibbs,G000563,Bob,Gibbs,rep,7,OH,R,https://www.facebook.com/RepBobGibbs/,@RepBobGibbs,supporter,,,
Rep. Jimmy Gomez,G000585,Jimmy,Gomez,rep,34,CA,D,https://www.facebook.com/RepJimmyGomez/,@RepJimmyGomez,supporter,,,
Rep. Anthony Gonzalez,G000588,Anthony,Gonzalez,rep,16,OH,R,https://www.facebook.com/anthonygonzalezforcongress/,@RepAGonzalez,supporter,,,
Rep. Vincente Gonzalez,G000581,Vincente,Gonzalez,rep,15,TX,D,https://www.facebook.com/USCongressmanVicenteGonzalez/,@RepGonzalez,supporter,,,
Rep. Lance Gooden,G000589,Lance,Gooden,rep,5,TX,R,https://www.facebook.com/RepGooden,@RepLanceGooden,supporter,,,
Rep. Josh Gottheimer,G000583,Josh,Gottheimer,rep,5,NJ,D,https://www.facebook.com/RepJoshG/,@RepJoshG,supporter,,,
Rep. Garret Graves,G000577,Garret,Graves,rep,6,LA,R,https://www.facebook.com/garretngraves/,@RepGarretGraves,supporter,,,
Rep. Sam Graves,G000546,Sam,Graves,rep,6,MO,R,https://www.facebook.com/RepSamGraves/,@RepSamGraves,supporter,,,
Rep. Tom Graves ,G000560,Tom,Graves,rep,14,GA,R,https://www.facebook.com/reptomgraves/,@RepTomGraves,supporter,,,
Rep Mark Green,G000590,Mark,Green,rep,7,TN,R,https://www.facebook.com/Dr.MarkGreen4TN/,@RepMarkGreen,supporter,,,
Rep. Morgan Griffith,G000568,Morgan,Griffith,rep,9,VA,R,https://www.facebook.com/RepMorganGriffith/,@RepMGriffith,supporter,,,
Rep. Glenn Grothman,G000576,Glenn,Grothman,rep,6,WI,R,https://www.facebook.com/RepGrothman/,@RepGrothman,supporter,,,
Rep. Micahel Guest,G000591,Michael,Guest,rep,3,MS,R,https://www.facebook.com/MichaelGuestMS/,@GuestCongress,supporter,,,
Rep. Brett Guthrie,G000558,Brett,Guthrie,rep,2,KY,R,https://www.facebook.com/CongressmanGuthrie/,@RepGuthrie,champion,,,2019 MA Rate Notice Crash Letter;;Lead circulator
Rep. Jim Hagedorn,H001088,Jim,Hagedorn,rep,1,MN,R,https://www.facebook.com/hagedornforcongress/,@RepHagedorn,supporter,,,
Rep. Vicky Hartzler,H001053,Vicky,Hartzler,rep,4,MO,R,https://www.facebook.com/Congresswoman.Hartzler/,@RepHartzler,supporter,,,
Rep. Alcee Hastings,H000324,Alcee,Hastings,rep,20,FL,D,https://www.facebook.com/RepHastingsFL/,@RepHastingsFL,supporter,,,
